topic_id,term_rank,term,weight
24,5,shares,0.02832046294041756
24,6,higher today,0.026208924922338867
24,7,stock today,0.024222588239498032
24,8,falling today,0.02238525395887792
24,9,fell,0.02237321684968478
24,10,stock popped,0.021017411591852334
25,1,china,0.051869075134373145
25,2,china securities,0.029062377581720852
25,3,chinese,0.02375446141553803
25,4,joint,0.01886398921645091
25,5,venture,0.017425970579491294
25,6,stake china,0.016624524022796978
25,7,joint venture,0.015065441933422522
25,8,wealth business,0.014563345253394908
25,9,communist,0.014531188790860426
25,10,securities,0.013533709788336137
26,1,cramer,0.14649521242553412
26,2,jim cramer,0.14207135930561915
26,3,jim,0.13644471102850297
26,4,cramer says,0.056973596887494427
26,5,says jim,0.033881632314441565
26,6,cramer jim,0.02888873391742914
26,7,cramer group,0.01949117168314603
26,8,cramer calls,0.01873748838083241
26,9,higher jim,0.015894883098831535
26,10,cramer amp,0.015504192629924056
27,1,layoffs,0.06083333332392563
27,2,jobs,0.04790891049020966
27,3,job cuts,0.04433956097804982
27,4,job,0.035318610199322274
27,5,000 jobs,0.03385954623738516
27,6,cuts,0.03056377697260707
27,7,plans cut,0.026964178827708834
27,8,cut,0.026685424594469303
27,9,lay,0.02208457976074252
27,10,employees,0.01989835654393706
28,1,notes,0.09241484360865056
28,2,senior notes,0.07806500839652777
28,3,floating rate,0.07369370842784514
28,4,floating,0.0732673471436076
28,5,redemption,0.06390032646114661
28,6,senior,0.056338460809551676
28,7,rate senior,0.05578045073977885
28,8,announces redemption,0.04503945045176467
28,9,fixed,0.04055306245508617
28,10,000 000,0.03956148419713992
29,1,healthcare conference,0.11550206686866112
29,2,44th,0.10043742992190592
29,3,annual healthcare,0.0991195043536136
29,4,44th annual,0.0991195043536136
29,5,healthcare,0.09341720899071489
29,6,present 44th,0.08130554581969361
29,7,present,0.0775775290382345
29,8,conference,0.07346749321988663
29,9,annual,0.06265162705482086
29,10,therapeutics present,0.032781234610167354
30,1,nvidia,0.0900471242322785
30,2,nvidia stock,0.04389004547536993
30,3,nvda,0.0178191631407061
30,4,nvidia nvda,0.014453279558302423
30,5,ai,0.014063709601509383
30,6,chip,0.01036587205302482
30,7,nvidia amd,0.010189325073601
30,8,nvda stock,0.009835081044872547
30,9,amd,0.009708186325423925
30,10,gpu,0.009523878725299284
31,1,gold,0.10464601430772906
31,2,gold prices,0.02588972496740384
31,3,gold price,0.022734664384764944
31,4,gold rises,0.022734664384764944
31,5,gold futures,0.019975394374960185
31,6,gold edges,0.019601054362621138
31,7,haven,0.018028222667914078
31,8,silver,0.016837448713380117
31,9,haven demand,0.016311578499212057
31,10,rate cut,0.013665690311043636
32,1,profit,0.05652504673774927
32,2,profit falls,0.03262764817675138
32,3,profit rises,0.026880059616958666
32,4,estimates,0.02524761258494392
32,5,dealmaking,0.022030423934120618
32,6,profits,0.02197308339642048
32,7,tops estimates,0.021558756433105796
32,8,revenue,0.021458038769409316
32,9,beats,0.02082458741659091
32,10,quarter profit,0.02033746010070597
33,1,bank stocks,0.08749992358879248
33,2,best bank,0.028589739434999886
33,3,industry,0.028406051348796372
33,4,prospering,0.027554789595924882
33,5,stocks buy,0.02483865318345414
33,6,bank,0.02166482714716797
33,7,foreign,0.02122015799228882
33,8,banks industry,0.02103708541318393
33,9,foreign bank,0.01965672076820012
33,10,stocks,0.019312418838760823
34,1,estimates,0.06317813261701977
34,2,revenues,0.054331894659381846
34,3,earnings revenues,0.05323950884759813
34,4,revenue estimates,0.048868244000207735
34,5,earnings revenue,0.047083098393103345
34,6,q4 earnings,0.041133507286150624
34,7,q1 earnings,0.03984100369314776
34,8,beat,0.03905986947653133
34,9,beat estimates,0.03662118575988505
34,10,q3 earnings,0.03408988761558188
35,1,results,0.08233917898874729
35,2,results reports,0.07781506406170662
35,3,financial results,0.0743248079452303
35,4,quarter,0.07129888116497105
35,5,reports quarter,0.056287821798219444
35,6,reports,0.05542772724943715
35,7,second quarter,0.053779351342057594
35,8,reports second,0.049024291630808986
35,9,quarter 2025,0.045269127140929524
35,10,second,0.041946327295617994
36,1,finance stocks,0.07025681877955402
36,2,banco chile,0.06264794266142046
36,3,chile,0.06014385955370686
36,4,banco,0.05990037698344567
36,5,stock outpacing,0.05680874582975521
36,6,peers year,0.05680874582975521
36,7,outpacing,0.05478530858598633
36,8,finance peers,0.05386024366792092
36,9,outpacing finance,0.05386024366792092
36,10,finance,0.05247408650722191
37,1,price target,0.11940297745040113
37,2,target,0.08394069738859596
37,3,price,0.0772665028018802
37,4,target raised,0.06933380914201416
37,5,raised,0.06053844419664052
