split,topic,documents
train,826,12
train,827,12
train,828,12
train,829,12
train,830,12
train,831,11
train,832,11
train,833,11
train,834,11
train,835,11
train,836,11
train,837,11
train,838,11
train,839,11
train,840,11
train,841,11
train,842,11
train,843,11
train,844,11
train,845,11
train,846,11
train,847,11
train,848,11
train,849,11
train,850,11
train,851,11
train,852,11
train,853,11
train,854,11
train,855,11
train,856,11
train,857,11
train,858,11
train,859,11
train,860,11
train,861,11
train,862,11
train,863,11
train,864,11
train,865,11
train,866,11
train,867,11
train,868,11
train,869,11
train,870,11
train,871,10
train,872,10
train,873,10
train,874,10
train,875,10
train,876,10
train,877,10
train,878,10
train,879,10
train,880,10
train,881,10
train,882,10
train,883,10
train,884,10
train,885,10
validation,-1,7295
validation,4,236
validation,6,192
validation,16,147
validation,1,119
validation,3,115
validation,47,108
validation,92,94
validation,22,84
validation,61,84
validation,8,82
validation,73,80
validation,159,69
validation,71,61
validation,123,60
validation,2,59
validation,20,53
validation,112,52
validation,492,52
validation,378,49
validation,13,47
validation,14,46
validation,43,46
validation,75,44
validation,51,43
validation,150,40
validation,416,40
validation,644,40
validation,0,39
validation,140,39
validation,174,39
validation,581,38
validation,9,35
validation,86,35
validation,108,35
validation,370,35
validation,84,34
validation,25,32
validation,126,31
validation,45,30
validation,50,30
validation,12,29
validation,18,29
validation,306,29
validation,154,28
validation,49,27
validation,178,27
validation,24,26
validation,83,26
validation,168,26
validation,265,26
validation,11,25
validation,27,25
validation,54,25
validation,63,25
validation,19,24
validation,95,24
validation,39,23
validation,56,23
validation,57,23
validation,68,23
validation,100,23
validation,62,22
validation,97,22
validation,133,22
validation,134,22
validation,275,22
validation,44,21
validation,66,21
validation,94,21
validation,98,21
validation,28,20
validation,32,20
validation,87,20
validation,215,20
validation,64,19
validation,80,19
validation,103,19
validation,209,19
validation,356,19
validation,711,19
validation,10,18
validation,42,18
validation,105,18
validation,200,18
validation,255,18
validation,337,18
validation,391,18
validation,634,18
validation,203,17
validation,328,17
validation,37,16
validation,106,16
validation,111,16
validation,122,16
validation,180,16
validation,188,16
validation,330,16
validation,700,16
validation,7,15
validation,15,15
validation,77,15
validation,82,15
validation,99,15
validation,211,15
validation,231,15
validation,314,15
validation,152,14
validation,166,14
validation,195,14
validation,276,14
validation,534,14
validation,36,13
validation,55,13
validation,78,13
validation,93,13
validation,109,13
validation,199,13
validation,298,13
validation,315,13
validation,456,13
validation,177,12
validation,287,12
validation,300,12
validation,538,12
validation,636,12
validation,712,12
validation,720,12
validation,30,11
validation,104,11
validation,162,11
validation,164,11
validation,208,11
validation,259,11
validation,332,11
validation,53,10
validation,90,10
validation,119,10
validation,136,10
validation,142,10
validation,151,10
validation,221,10
validation,269,10
validation,270,10
validation,283,10
validation,288,10
validation,302,10
validation,319,10
validation,324,10
validation,387,10
validation,510,10
validation,568,10
validation,34,9
validation,60,9
validation,69,9
validation,113,9
validation,155,9
validation,181,9
validation,218,9
validation,219,9
validation,226,9
validation,247,9
validation,249,9
validation,257,9
validation,279,9
validation,284,9
validation,299,9
validation,316,9
validation,389,9
validation,455,9
validation,526,9
validation,547,9
validation,635,9
validation,676,9
validation,5,8
validation,17,8
validation,26,8
validation,31,8
validation,33,8
validation,48,8
validation,91,8
validation,101,8
validation,121,8
validation,138,8
validation,167,8
validation,172,8
validation,184,8
validation,196,8
validation,207,8
validation,214,8
validation,234,8
validation,244,8
validation,250,8
validation,297,8
validation,320,8
validation,360,8
validation,373,8
validation,379,8
validation,502,8
validation,605,8
validation,717,8
validation,782,8
validation,21,7
validation,72,7
validation,118,7
validation,120,7
validation,130,7
validation,160,7
validation,173,7
validation,185,7
validation,206,7
validation,213,7
validation,220,7
validation,252,7
validation,258,7
validation,274,7
validation,281,7
validation,304,7
validation,309,7
validation,340,7
validation,346,7
validation,348,7
validation,359,7
validation,398,7
validation,422,7
validation,475,7
validation,478,7
validation,484,7
validation,508,7
validation,570,7
validation,579,7
validation,583,7
validation,589,7
validation,666,7
validation,722,7
validation,768,7
validation,79,6
validation,132,6
validation,135,6
validation,143,6
validation,171,6
validation,176,6
validation,204,6
validation,205,6
validation,230,6
validation,310,6
validation,343,6
validation,400,6
validation,411,6
validation,425,6
validation,442,6
validation,460,6
validation,501,6
validation,520,6
validation,682,6
validation,699,6
validation,728,6
validation,734,6
validation,23,5
validation,114,5
validation,137,5
validation,197,5
validation,212,5
validation,233,5
validation,237,5
validation,243,5
validation,246,5
validation,285,5
validation,355,5
validation,399,5
validation,415,5
validation,417,5
validation,418,5
validation,420,5
validation,424,5
validation,441,5
validation,457,5
validation,464,5
validation,465,5
validation,476,5
validation,514,5
validation,524,5
validation,528,5
validation,529,5
validation,535,5
validation,543,5
validation,544,5
validation,575,5
validation,591,5
validation,646,5
validation,655,5
validation,792,5
validation,81,4
validation,115,4
validation,129,4
validation,141,4
validation,144,4
validation,156,4
validation,183,4
validation,189,4
validation,192,4
validation,210,4
validation,235,4
validation,256,4
validation,291,4
validation,296,4
validation,301,4
validation,311,4
validation,312,4
validation,351,4
validation,357,4
validation,368,4
validation,382,4
validation,388,4
validation,393,4
validation,394,4
validation,401,4
validation,427,4
validation,437,4
validation,447,4
validation,450,4
validation,452,4
validation,453,4
validation,462,4
validation,479,4
validation,487,4
validation,488,4
validation,505,4
validation,532,4
validation,537,4
validation,555,4
validation,564,4
validation,567,4
validation,587,4
validation,668,4
validation,673,4
validation,678,4
validation,687,4
validation,708,4
validation,709,4
validation,739,4
validation,769,4
validation,773,4
validation,800,4
validation,802,4
validation,813,4
validation,816,4
validation,35,3
validation,52,3
validation,58,3
validation,88,3
validation,89,3
validation,117,3
validation,139,3
validation,148,3
validation,149,3
validation,153,3
validation,157,3
validation,161,3
validation,175,3
validation,182,3
validation,191,3
validation,193,3
validation,216,3
validation,217,3
validation,224,3
validation,225,3
validation,227,3
validation,232,3
validation,236,3
validation,240,3
validation,245,3
validation,248,3
validation,278,3
validation,282,3
validation,295,3
validation,327,3
validation,353,3
validation,371,3
validation,381,3
validation,390,3
validation,407,3
validation,423,3
validation,436,3
validation,446,3
validation,454,3
validation,472,3
validation,482,3
validation,490,3
validation,491,3
validation,493,3
validation,498,3
validation,504,3
validation,517,3
validation,525,3
validation,539,3
validation,540,3
validation,541,3
validation,545,3
validation,577,3
validation,585,3
validation,618,3
validation,622,3
validation,641,3
validation,649,3
validation,674,3
validation,686,3
validation,689,3
validation,691,3
validation,701,3
validation,705,3
validation,760,3
validation,788,3
validation,791,3
validation,809,3
validation,811,3
validation,812,3
validation,821,3
validation,845,3
validation,860,3
validation,866,3
validation,29,2
validation,38,2
validation,46,2
validation,67,2
validation,70,2
validation,102,2
validation,107,2
validation,110,2
validation,125,2
validation,128,2
validation,170,2
validation,194,2
validation,198,2
validation,202,2
validation,222,2
validation,229,2
validation,238,2
validation,251,2
validation,261,2
validation,263,2
validation,267,2
validation,272,2
validation,286,2
validation,290,2
validation,303,2
validation,307,2
validation,322,2
validation,323,2
validation,326,2
validation,331,2
validation,342,2
validation,347,2
validation,349,2
validation,364,2
validation,366,2
validation,372,2
validation,376,2
validation,396,2
validation,404,2
validation,405,2
validation,406,2
validation,414,2
validation,419,2
validation,429,2
validation,430,2
validation,444,2
validation,461,2
validation,463,2
validation,486,2
validation,494,2
