trial,fold,random_seed,n_neighbors,n_components,min_cluster_size,min_samples,ngram_range,n_topics,cv_val,npmi_val,topic_diversity,intra_topic_similarity,inter_topic_similarity,fit_seconds
15,3,42,30,5,15,1,"(1, 2)",404,0.4278081162208345,-0.04912572258626754,0.8299504950495049,0.7963996641129755,0.6966215968132019,78.51865240000188
16,1,42,30,5,15,3,"(1, 2)",9,0.7933482012696277,0.0774196649072358,0.8888888888888888,0.6939956322312355,0.8511113524436951,65.5976220999728
16,2,42,30,5,15,3,"(1, 2)",169,0.4716078920187876,-0.027710146926721357,0.8242603550295858,0.7996526296506792,0.6882675290107727,52.66834470001049
16,3,42,30,5,15,3,"(1, 2)",317,0.4412567657540406,-0.029937635869488912,0.817981072555205,0.8057756319912998,0.6969488859176636,76.53904679999687
17,1,42,30,5,20,1,"(1, 2)",7,0.8382643092010181,0.12661362186821773,0.9571428571428572,0.6991924898965018,0.8485501408576965,66.09985299999244
17,2,42,30,5,20,1,"(1, 2)",154,0.4650048869760649,-0.03427990982083129,0.8246753246753247,0.7846903253574761,0.7096003293991089,53.13565209999797
17,3,42,30,5,20,1,"(1, 2)",313,0.44328909979891856,-0.030590797443088406,0.8079872204472843,0.7962195518124809,0.7073368430137634,76.38088219999918
18,1,42,30,5,20,3,"(1, 2)",7,0.8382643092010181,0.12661362186821773,0.9571428571428572,0.6993524176733834,0.8451279401779175,65.54753410001285
18,2,42,30,5,20,3,"(1, 2)",129,0.4757573125948725,-0.02899734129114038,0.8209302325581396,0.7922269343360653,0.6927253603935242,52.49060330001521
18,3,42,30,5,20,3,"(1, 2)",240,0.44227802918219894,-0.029406527092294993,0.8029166666666666,0.8037104989410541,0.7097842693328857,76.86998620000668
19,1,42,30,10,10,1,"(1, 2)",13,0.8165490793080931,0.0712214703020267,0.8076923076923077,0.7101662009954453,0.847481369972229,66.13904999999795
19,2,42,30,10,10,1,"(1, 2)",382,0.4565210177377552,-0.031813607580185144,0.8552356020942409,0.7960605662188426,0.6870140433311462,56.35701279999921
19,3,42,30,10,10,1,"(1, 2)",680,0.43456533680303416,-0.03967606382537575,0.8625,0.8022187878573991,0.6762836575508118,83.83322900001076
20,1,42,30,10,10,3,"(1, 2)",12,0.8165490793080931,0.07122147030202669,0.875,0.7136705409396779,0.8532027006149292,65.81362410000293
20,2,42,30,10,10,3,"(1, 2)",261,0.47931395607216004,-0.006793277478452455,0.8432950191570882,0.8052108705043792,0.6743768453598022,55.00973769999109
20,3,42,30,10,10,3,"(1, 2)",470,0.4566817137217664,-0.014058095840312784,0.8361702127659575,0.8168065103080461,0.67176753282547,80.77002759999596
21,1,42,30,10,15,1,"(1, 2)",9,0.7933482012696277,0.0774196649072358,0.8888888888888888,0.6940542086958885,0.8527175784111023,66.2865847000212
21,2,42,30,10,15,1,"(1, 2)",211,0.47448643880380703,-0.02189243949350607,0.8308056872037914,0.7926963470993241,0.6950721144676208,53.79782880001585
